;1Q1993;2Q1993;3Q1993;4Q1993;1Q1994;2Q1994;3Q1994;4Q1994;1Q1995;2Q1995;3Q1995;4Q1995;1Q1996;2Q1996;3Q1996;4Q1996;1Q1997;2Q1997;3Q1997;4Q1997;1Q1998;2Q1998;3Q1998;4Q1998;1Q1999;2Q1999;3Q1999;4Q1999;1Q2000;2Q2000;3Q2000;4Q2000;1Q2001;2Q2001;3Q2001;4Q2001;1Q2002;2Q2002;3Q2002;4Q2002;1Q2003;2Q2003;3Q2003;4Q2003;1Q2004;2Q2004;3Q2004;4Q2004;1Q2005;2Q2005;3Q2005;4Q2005;1Q2006;2Q2006;3Q2006;4Q2006;1Q2007;2Q2007;3Q2007;4Q2007;1Q2008;2Q2008;3Q2008;4Q2008;1Q2009;2Q2009;3Q2009;4Q2009;1Q2010;2Q2010;3Q2010;4Q2010;1Q2011;2Q2011;3Q2011;4Q2011;1Q2012;2Q2012;3Q2012;4Q2012;1Q2013;2Q2013;3Q2013;4Q2013;1Q2014;2Q2014;3Q2014;4Q2014;1Q2015;2Q2015;3Q2015;4Q2015;1Q2016;2Q2016;3Q2016;4Q2016;1Q2017;2Q2017;3Q2017;4Q2017;1Q2018;2Q2018;3Q2018;4Q2018;1Q2019;2Q2019;3Q2019;4Q2019;1Q2020;2Q2020;3Q2020;4Q2020;1Q2021;2Q2021;3Q2021;4Q2021;1Q2022;2Q2022;3Q2022;4Q2022;1Q2023;2Q2023;3Q2023;4Q2023;1Q2024;2Q2024;3Q2024;4Q2024;1Q2025;2Q2025;3Q2025;4Q2025
"hdp";9,022.0548;9,049.7528;8,867.6296;9,196.0660;9,438.8990;9,379.9792;9,511.9926;9,667.0009;9,929.2438;10,083.2257;10,127.4663;10,309.5802;10,471.4347;10,580.8924;10,835.2000;11,037.3290;11,131.1792;11,286.4908;11,467.4384;11,394.5366;11,596.6830;11,587.3643;11,479.1388;12,348.9069;11,916.0839;11,701.1916;11,617.7445;11,554.5830;11,667.0661;11,772.0213;11,831.8724;11,887.9182;11,959.5321;12,079.0966;12,117.2676;12,382.4547;12,429.4122;12,547.1019;12,821.1692;12,884.7296;13,072.0371;13,255.4267;13,295.3182;13,521.1230;13,719.6967;13,809.2426;14,133.4222;14,345.7335;14,500.5770;14,806.0706;15,052.3422;15,281.1922;15,681.8427;16,062.1789;16,375.6035;16,843.8528;17,188.7537;17,611.3071;18,023.8298;19,167.7454;18,602.5158;18,828.6645;19,095.0348;19,326.6038;17,443.7776;17,741.1464;18,060.7674;18,431.1737;18,817.4208;19,052.5931;19,272.5608;19,401.5664;19,439.6436;19,573.6828;19,666.1891;19,826.0116;19,895.0693;19,936.7725;19,962.6068;19,942.9643;19,949.4392;20,015.2304;20,108.1850;20,225.3704;20,348.5124;20,502.8789;20,698.6318;20,922.6388;21,324.6405;21,586.5426;21,835.6785;21,995.3104;21,994.9848;22,049.8330;22,128.5889;22,258.3453;22,424.6869;22,633.4704;22,820.8060;23,094.9657;23,318.5968;23,594.0666;23,823.7232;23,933.0124;24,089.0580;24,138.9017;24,223.7565;24,372.2628;23,815.1573;21,975.0971;24,161.9975;24,368.3310;24,631.4057;24,892.3142;25,053.6266;25,144.9655;25,096.4632;24,997.5553;25,019.0967;25,057.6218;25,107.4062;25,328.8512;25,496.2929;25,618.8777;25,785.8329;25,849.1993;25,925.9909;;;;;
"nezamestnanost";;;;;;;;;13.7748;13.4048;12.6630;12.5744;11.7164;11.3199;11.1023;11.1752;11.4913;11.6224;12.1665;12.2497;12.1775;12.2861;12.9246;13.0299;14.8673;15.9660;16.9232;17.6461;18.5133;19.0248;18.8413;18.6488;19.3023;19.3765;19.3278;19.2033;18.8511;18.7498;18.5647;18.3461;17.7849;17.1537;17.3344;17.7312;18.6926;18.5852;17.8117;17.4443;16.9523;16.3123;15.8809;15.5346;14.4758;13.5616;12.9625;12.2379;11.1614;11.1358;11.2646;10.5091;10.1301;10.1454;9.1061;8.8917;10.1573;11.3598;12.7086;13.9653;14.7267;14.5313;14.3262;13.9078;13.5983;13.4382;13.4319;13.9532;13.7512;13.8649;13.8848;14.2903;14.2531;14.2867;14.2219;14.1016;13.8656;13.4119;12.9632;12.4818;12.2226;11.4835;11.3309;10.8705;10.2300;9.8384;9.4827;9.0269;8.6348;8.2991;7.9330;7.6550;7.0570;6.7600;6.2951;6.0331;5.8098;5.7739;5.7723;5.6602;5.9670;6.6937;7.1114;6.9873;7.0450;7.0055;6.6855;6.5777;6.3079;6.2279;5.9774;6.0554;6.0946;5.8366;5.8151;5.6173;5.5285;5.3253;5.2962;;;;;
"pracovna_sila";;;;;;;;;2,458.6210;2,470.1537;2,467.3186;2,485.8067;2,499.1961;2,503.7371;2,516.4760;2,516.9908;2,508.3053;2,501.5763;2,502.5299;2,500.8885;2,507.6237;2,516.3526;2,521.0715;2,517.5522;2,542.5383;2,542.7005;2,552.7050;2,557.6562;2,581.7528;2,583.9230;2,587.5741;2,594.3501;2,620.6797;2,636.6780;2,636.7566;2,632.4857;2,614.9912;2,608.9540;2,610.6017;2,620.8531;2,617.7244;2,625.0460;2,625.4124;2,626.7172;2,647.0671;2,651.4776;2,656.1339;2,649.6213;2,644.3011;2,632.7220;2,641.0673;2,656.3096;2,657.8651;2,661.1831;2,654.7506;2,645.3012;2,635.1798;2,637.7104;2,658.2776;2,665.3322;2,678.9544;2,682.9165;2,710.6011;2,692.3280;2,680.4070;2,686.2543;2,696.8067;2,696.4321;2,702.7529;2,706.7896;2,708.1119;2,708.3456;2,675.8244;2,677.5516;2,676.5861;2,689.8039;2,706.2382;2,707.0864;2,708.2481;2,704.2102;2,722.7193;2,713.6090;2,711.8477;2,712.7940;2,715.4279;2,717.4769;2,722.6284;2,731.5358;2,733.6725;2,729.4698;2,739.9550;2,749.8378;2,750.5971;2,762.1903;2,759.8039;2,759.8547;2,758.8574;2,757.6887;2,755.3065;2,746.7704;2,744.6217;2,748.1139;2,745.3168;2,746.8876;2,758.6720;2,737.7029;2,735.5735;2,733.5716;2,731.0727;2,695.3249;2,712.0519;2,712.4006;2,714.5936;2,736.6327;2,764.7345;2,776.7252;2,770.9400;2,782.6015;2,773.2114;2,770.5700;2,771.2100;2,773.4367;2,767.5613;2,775.2310;2,775.5766;2,766.3902;2,761.7681;;;;;
"obyvatelia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,398.6570;5,398.6300;5,400.6370;5,403.1010;5,402.5470;5,402.7280;5,403.4620;5,404.3440;5,378.9510;5,378.4050;5,378.5950;5,379.5880;5,379.1610;5,378.1670;5,378.8210;5,380.7270;5,380.0530;5,380.1830;5,382.1780;5,384.8860;5,384.8220;5,385.2260;5,386.7180;5,389.4650;5,389.1800;5,389.1290;5,390.4040;5,392.7390;5,393.6370;5,394.1490;5,396.1680;5,398.6290;5,400.9980;5,402.2730;5,404.7840;5,409.7550;5,412.2540;5,413.5480;5,416.9580;5,421.9370;5,424.9250;5,426.6450;5,429.7630;5,433.3850;5,392.4460;5,394.2990;5,397.2510;5,402.4970;5,404.3220;5,404.5550;5,405.3380;5,408.1480;5,410.8360;5,410.7280;5,412.0080;5,415.4590;5,415.9490;5,416.7270;5,417.7500;5,421.0340;5,421.3490;5,420.0100;5,421.4320;5,424.0560;5,426.2520;5,427.9170;5,429.8240;5,434.2920;5,435.3430;5,435.0920;5,437.7540;5,441.9010;5,443.1200;5,442.9740;5,445.0890;5,449.2930;5,450.4210;5,450.0170;5,452.2570;5,456.3620;5,457.8730;5,457.9260;5,460.1360;5,464.0600;5,449.2700;5,439.0020;5,439.1550;5,441.4500;5,434.7120;5,431.1490;5,431.0260;5,431.3270;5,428.7920;5,426.8100;5,426.8530;5,427.2830;5,424.6870;5,366.4170;5,366.4170;;;;;
"hicp";;;;;;;;;;;;;42.9451;43.4722;44.2800;45.0372;45.5031;46.1154;46.9020;47.7328;48.7636;49.5408;49.7798;50.6184;52.1132;52.8906;56.8074;57.6746;60.3175;61.4024;61.8768;62.6428;64.3957;65.8618;66.5664;66.9081;67.5212;67.9730;68.4130;69.0301;72.6000;73.3364;74.5210;75.4993;78.5975;79.2770;79.9992;80.1525;80.7807;81.2556;81.6964;83.0245;84.2239;85.0042;85.6025;85.8587;86.0292;86.4423;86.7847;87.8855;88.9905;89.9093;90.6572;91.2764;91.0603;90.8976;90.9814;91.2513;91.0658;91.5129;91.8914;92.2150;94.2849;95.2510;95.6187;96.4972;98.1173;98.7176;99.2192;99.9521;100.3435;100.3837;100.5726;100.4652;100.2308;100.2788;100.4185;100.4115;99.7626;100.1595;100.1031;99.9748;99.3036;99.5289;99.3916;99.9006;100.3406;100.6909;101.0923;101.9593;102.8652;103.5731;103.8827;104.1362;105.3169;106.2790;107.0041;107.3464;108.3300;108.2698;108.5559;109.0200;109.5306;110.8168;112.5325;114.3787;118.7210;123.3194;126.6933;130.3983;135.5218;137.9246;138.6113;139.5502;140.7642;141.7365;142.9463;144.4102;;;;
"cpi";50.3346;51.8135;53.9066;56.5250;58.1108;59.0069;60.7471;63.1728;64.7579;65.4442;66.6952;67.9404;68.8042;69.4541;70.3156;71.6147;73.0107;73.8823;74.6334;76.0841;78.3599;79.3196;79.2424;80.5816;83.7722;84.8253;90.5294;91.9013;96.7921;98.2282;98.5496;99.7140;103.3623;105.5416;106.1426;106.2229;108.2118;108.8418;108.8025;109.4824;116.4199;117.4042;118.7374;119.9322;126.1121;126.9906;127.5829;127.4393;129.6489;130.2215;130.2345;131.8633;135.2540;136.2365;136.6353;137.2239;139.0529;139.6142;140.0270;141.7272;144.6081;145.8975;147.1063;148.5200;148.8928;148.6875;148.8732;149.1971;149.6841;150.4116;150.4544;150.8348;154.6227;156.2080;156.4355;157.6227;160.5567;161.6779;162.1648;163.0783;164.0276;164.3244;164.2318;163.8850;163.9344;164.1959;164.0257;163.8586;163.2400;164.0388;163.5371;163.0607;162.3920;162.9355;162.3319;162.8592;163.8852;164.4943;164.8097;165.8709;167.7009;169.0621;169.2918;169.4626;171.7115;173.3586;174.1590;174.3750;176.4507;176.7029;176.7908;177.0623;178.1955;180.6360;183.6891;186.7985;194.6954;203.2661;209.3009;215.1815;224.0894;227.9753;227.9141;228.9335;231.2791;232.7962;233.9953;235.9249;;;;
"ppi";;46.0356;46.8867;48.3459;49.2213;49.6834;51.0696;52.9421;55.0822;56.1279;56.9304;57.3925;57.7816;58.5598;58.9732;60.0432;61.2835;61.1132;61.7212;62.9858;63.2047;63.2776;63.3263;63.8126;64.0072;64.5179;66.9984;68.8466;70.6462;72.4945;74.0022;75.8505;77.3826;78.4526;78.1851;77.9176;78.9876;79.9117;79.8388;79.6685;85.6333;86.2000;86.1000;86.2333;87.8333;88.0667;88.6667;89.3333;89.6333;91.1000;92.6333;94.0000;96.0000;97.6667;98.6000;98.7000;98.6333;99.0667;99.6333;100.6000;103.5333;105.1000;106.2333;107.3333;105.6000;102.8667;101.2667;101.5000;98.9667;99.6333;100.7333;100.6000;101.7333;102.5667;102.8333;103.4000;105.3667;106.6000;106.9333;107.5000;107.2333;97.1861;96.7680;96.2901;94.3189;93.5723;93.4528;92.8853;90.7051;90.0181;89.2416;88.3755;85.8667;85.2693;85.4784;86.2848;87.5989;86.8821;86.8821;87.9275;90.2667;91.0667;92.4333;92.9667;93.7667;94.4000;94.1000;93.8333;96.0667;94.6333;94.4000;94.1667;95.3667;97.1000;100.9333;106.6333;127.1000;140.1000;153.4333;152.8000;153.3000;150.4333;150.9333;149.1000;135.5667;133.2667;137.8333;135.8000;;;;
"nehnutelnosti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;511.0000;546.0000;614.0000;697.0000;769.0000;824.0000;852.0000;863.0000;865.4319;959.1383;1,025.4265;966.7065;829.8237;830.3673;871.8726;895.3475;944.6964;980.1460;1,025.5243;1,049.7213;1,097.0602;1,180.1249;1,285.5237;1,390.5806;1,475.8980;1,548.7612;1,541.9529;1,478.9040;1,413.2654;1,341.9530;1,322.3217;1,296.5721;1,278.1761;1,272.7604;1,282.1031;1,267.3411;1,259.5900;1,251.1600;1,245.1255;1,236.1726;1,234.1339;1,224.0759;1,237.6549;1,242.6065;1,239.6116;1,231.4507;1,222.2374;1,215.3322;1,220.3597;1,214.6982;1,218.2051;1,222.5134;1,233.6926;1,232.3645;1,242.8397;1,249.6880;1,258.6948;1,296.5684;1,316.4534;1,331.3420;1,359.9955;1,391.7540;1,403.1186;1,395.4172;1,430.7989;1,462.8229;1,460.8486;1,501.6896;1,539.3217;1,556.3389;1,602.9728;1,597.1010;1,670.9917;1,731.2816;1,792.1430;1,852.5956;2,035.3029;2,128.3619;2,225.2839;2,314.3712;2,510.0147;2,671.2692;2,713.6053;2,660.8173;2,556.0551;2,493.7686;2,438.0453;2,432.9751;2,422.9968;2,461.5872;2,520.3183;;;;;
"vladne_vydavky";0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3,018.3430;3,359.5980;3,398.9530;4,074.0180;3,872.9560;4,333.0390;4,272.3810;4,362.1550;3,733.5320;3,985.0970;3,733.6860;4,410.9770;3,779.2870;3,992.9880;4,104.9690;5,265.7800;3,599.5250;3,970.8810;4,066.7990;4,867.6980;3,693.9270;4,201.0890;4,390.2630;5,380.6060;4,384.7910;4,505.1120;4,848.7880;5,936.8470;4,758.2290;5,402.3870;5,077.8470;6,276.5110;4,996.9020;5,555.7710;5,430.2760;6,715.3650;5,657.2820;6,080.8280;6,020.6180;7,253.9790;6,258.4260;6,801.4050;6,654.0900;7,980.8730;6,649.6730;6,925.7910;6,703.2740;7,932.0950;6,866.7510;7,332.2730;6,781.6780;8,232.9310;7,007.7400;7,198.3180;6,933.3830;8,381.2010;7,203.6320;7,422.8880;7,537.9660;8,513.9780;7,389.4820;7,814.4740;7,812.1430;9,119.4460;7,470.0390;8,338.2940;8,785.2880;10,873.6020;7,738.1380;8,233.4090;7,999.3560;9,411.7340;7,820.6380;8,252.9730;8,203.8820;9,522.8450;8,015.4750;8,673.6950;8,720.3910;10,382.2580;8,618.4080;9,181.4540;9,355.5690;11,276.9780;9,277.4420;10,149.1110;10,100.1750;12,413.5690;10,320.2550;11,172.3420;10,708.6300;13,376.4720;10,838.6050;11,418.3450;11,288.1750;13,588.8160;12,611.1990;13,447.7670;14,138.6470;18,989.7910;13,293.2470;14,407.2650;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
"tvorba_kapitalu";0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;224.1860;284.4720;239.8420;338.0120;232.6320;294.7540;278.1220;379.8880;228.1170;347.5300;351.9680;451.7560;223.5680;379.9080;390.5780;558.2180;160.8190;310.3560;312.2530;553.1690;174.7850;343.1590;308.0310;559.8750;235.6460;436.0910;356.8350;740.9590;390.3320;553.4990;429.5810;797.7270;275.0590;500.6430;441.8920;918.9950;354.7270;621.6260;522.5560;875.1860;408.4440;676.5510;594.8580;860.4780;403.5740;668.7180;579.7770;861.1390;449.2330;703.5960;599.8130;935.2700;371.5120;488.2640;603.4590;948.1220;262.0500;492.6950;733.9190;1,043.7880;362.3680;673.7180;863.1160;1,258.6030;512.5940;928.3810;1,427.7920;2,319.7170;476.4480;685.9160;620.2200;1,000.2320;427.5640;581.1040;756.4060;1,101.8010;406.4680;701.2600;868.0840;1,394.9280;502.4490;658.6340;750.4570;1,476.9340;535.1650;664.6890;703.1690;1,305.5660;562.8640;548.4370;799.7320;1,154.3300;564.6710;329.3340;-580.6610;1,598.0340;623.4900;923.2190;1,527.1310;2,764.6220;568.9090;772.0450;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
